"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,2494,748.2
"2","CARRIER","50PCV006",0.4,0.4,2494,748.2
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,2742.975,822.8925
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,2805.25,841.575
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,2805.25,841.575
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,2805.25,841.575
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,2930.2,879.06
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,2930.2,879.06
"9","KELVINATOR","KSV26NRC",0.5,0.52,3242.1,972.63
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,3491.175,1047.3525
"11","Tranquility","TRC-09",0.561,0.565,3522.755,1056.8265
"12","GREE","GJH07AF-K6RNB2D",0.66,0.57,3554.4,1066.32
"13","GREE","GJH07AF-K6RNC2A",0.66,0.57,3554.4,1066.32
"14","GREE","GJH07AF-K3RNB9D",0.66,0.57,3554.4,1066.32
"15","KELVINATOR","KWH20HRE",0.66,0.57,3554.4,1066.32
"16","LENNOX","LNWR21X",0.66,0.578,3604.24,1081.272
"17","CARRIER","50PSH009",0.575,0.5781,3604.438,1081.3314
"18","CARRIER","50PSV009",0.575,0.5781,3604.438,1081.3314
"19","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,3615.85,1084.755
"20","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,3615.95,1084.785
"21","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,3615.95,1084.785
"22","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,3615.95,1084.785
"23","CHIGO","CS-25V3A-PD/CS-25V3A-H5D",0.58,0.58,3616.3,1084.89
"24","YORK","YCAFZH007BAMAAFX",0.65,0.58,3616.65,1084.995
"25","MIDEA","MWF-07HB4",0.66,0.58,3616.7,1085.01
"26","LENNOX","LNWR20X",0.66,0.58,3616.7,1085.01
"27","TECO","TWW22HFBGJBB",0.66,0.58,3616.7,1085.01
"28","TECO","TWW22HFAGJBB",0.66,0.58,3616.7,1085.01
"29","Carrier","51QW107715G",0.66,0.58,3616.7,1085.01
"30","DAIKIN","FTXM20P / RXM20P",0.41,0.59,3677.75,1103.325
"31","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,3678,1103.4
"32","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,3678,1103.4
"33","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,3678,1103.4
"34","STIRLING","STR-23RSJAIF",0.52,0.59,3678.3,1103.49
"35","TCL","TAC-09CHSA/AKI5",0.52,0.59,3678.3,1103.49
"36","TCL","TAC-09CHSA/KaI5",0.52,0.59,3678.3,1103.49
"37","TCL","TAC-09CHSA/CII5",0.52,0.59,3678.3,1103.49
"38","TCL","TAC-09CHSA/CFI5",0.52,0.59,3678.3,1103.49
"39","TCL","TAC-09CHSA/CEI5",0.52,0.59,3678.3,1103.49
"40","TCL","TAC-09CHSA/CZI5",0.52,0.59,3678.3,1103.49
"41","TCL","TAC-09CHSA/CTI5",0.52,0.59,3678.3,1103.49
"42","TCL","TAC-09CHSA/CRI5",0.52,0.59,3678.3,1103.49
"43","TCL","TAC-09CHSA/CQI5",0.52,0.59,3678.3,1103.49
"44","TCL","TAC-09CHSA/CYI5",0.52,0.59,3678.3,1103.49
"45","TCL","TAC-09CHSA/CPI5",0.52,0.59,3678.3,1103.49
"46","TCL","TAC-09CHSA/CWI5",0.52,0.59,3678.3,1103.49
"47","TCL","TAC-09CHSA/CVI5",0.52,0.59,3678.3,1103.49
"48","TCL","TAC-09CHSA/CUI5",0.52,0.59,3678.3,1103.49
"49","TCL","TAC-09CHSA/CNI5",0.52,0.59,3678.3,1103.49
"50","TCL","TAC-09CHSA/CHI5",0.52,0.59,3678.3,1103.49
"51","TCL","TAC-09CHSA/DFI5",0.52,0.59,3678.3,1103.49
"52","TCL","TAC-09CHSA/DEI5",0.52,0.59,3678.3,1103.49
"53","TCL","TAC-09CHSA/DCI5",0.52,0.59,3678.3,1103.49
"54","TCL","TAC-09CHSA/DBI5",0.52,0.59,3678.3,1103.49
"55","TCL","TAC-09CHSA/CDI5",0.52,0.59,3678.3,1103.49
"56","TCL","TAC-09CHSA/CXI5",0.52,0.59,3678.3,1103.49
"57","TCL","TAC-09CHSA/CAI5",0.52,0.59,3678.3,1103.49
"58","TCL","TAC-09CHSA/CMI5",0.52,0.59,3678.3,1103.49
"59","TCL","TAC-09CHSA/CJI5",0.52,0.59,3678.3,1103.49
"60","TCL","TAC-09CHSA/CLI5",0.52,0.59,3678.3,1103.49
"61","TCL","TAC-09CHSA/CKI5",0.52,0.59,3678.3,1103.49
"62","TCL","TAC-09CHSA/CGI5",0.52,0.59,3678.3,1103.49
"63","TCL","TAC-09CHSA/CBI5",0.52,0.59,3678.3,1103.49
"64","TCL","TAC-09CHSA/AUI5",0.52,0.59,3678.3,1103.49
"65","TCL","TAC-09CHSA/AMI5",0.52,0.59,3678.3,1103.49
"66","TCL","TAC-09CHSA/ALI5",0.52,0.59,3678.3,1103.49
"67","TCL","TAC-09CHSA/BLI5",0.52,0.59,3678.3,1103.49
"68","TCL","TAC-09CHSA/BZI5",0.52,0.59,3678.3,1103.49
"69","TCL","TAC-09CHSA/BYI5",0.52,0.59,3678.3,1103.49
"70","TCL","TAC-09CHSA/BVI5",0.52,0.59,3678.3,1103.49
"71","TCL","TAC-09CHSA/BUI5",0.52,0.59,3678.3,1103.49
"72","TCL","TAC-09CHSA/BRI5",0.52,0.59,3678.3,1103.49
"73","TCL","TAC-09CHSA/BQI5",0.52,0.59,3678.3,1103.49
"74","TCL","TAC-09CHSA/BKI5",0.52,0.59,3678.3,1103.49
"75","TCL","TAC-09CHSA/BMI5",0.52,0.59,3678.3,1103.49
"76","TCL","TAC-09CHSA/BJI5",0.52,0.59,3678.3,1103.49
"77","TCL","TAC-09CHSA/BHI5",0.52,0.59,3678.3,1103.49
"78","TCL","TAC-09CHSA/BGI5",0.52,0.59,3678.3,1103.49
"79","TCL","TAC-09CHSA/BFI5",0.52,0.59,3678.3,1103.49
"80","TCL","TAC-09CHSA/BEI5",0.52,0.59,3678.3,1103.49
"81","TCL","TAC-09CHSA/BDI5",0.52,0.59,3678.3,1103.49
"82","TCL","TAC-09CHSA/ZI5",0.52,0.59,3678.3,1103.49
"83","TCL","TAC-09CHSA/YI5",0.52,0.59,3678.3,1103.49
"84","TCL","TAC-09CHSA/VI5",0.52,0.59,3678.3,1103.49
"85","TCL","TAC-09CHSA/QI5",0.52,0.59,3678.3,1103.49
"86","TCL","TAC-09CHSA/AI5",0.52,0.59,3678.3,1103.49
"87","TCL","TAC-09CHSA/RI5",0.52,0.59,3678.3,1103.49
"88","TCL","TAC-09CHSA/NI5",0.52,0.59,3678.3,1103.49
"89","TCL","TAC-09CHSA/MI5",0.52,0.59,3678.3,1103.49
"90","TCL","TAC-09CHSA/LI5",0.52,0.59,3678.3,1103.49
"91","TCL","TAC-09CHSA/KI5",0.52,0.59,3678.3,1103.49
"92","TCL","TAC-09CHSA/JI5",0.52,0.59,3678.3,1103.49
"93","TCL","TAC-09CHSA/HI5",0.52,0.59,3678.3,1103.49
"94","TCL","TAC-09CHSA/GI5",0.52,0.59,3678.3,1103.49
"95","TCL","TAC-09CHSA/FI5",0.52,0.59,3678.3,1103.49
"96","TCL","TAC-09CHSA/EI5",0.52,0.59,3678.3,1103.49
"97","TCL","TAC-09CHSA/DI5",0.52,0.59,3678.3,1103.49
"98","TCL","TAC-09CHSA/CI5",0.52,0.59,3678.3,1103.49
"99","AKAI","TEM-26CHSAAK5",0.52,0.59,3678.3,1103.49
"100","AKAI","TEM-26CHSAKA5",0.52,0.59,3678.3,1103.49
"101","TCL","TAC-09CHSA/AKI5",0.52,0.59,3678.3,1103.49
"102","HYUNDAI","HSH-073BE",0.65,0.59,3678.95,1103.685
"103","WINIA","WSH-073BE",0.65,0.59,3678.95,1103.685
"104","TCL","TAC-09CHSA/ZI4",0.65,0.59,3678.95,1103.685
"105","VENTO","TAC-09CHSA/BVI4",0.65,0.59,3678.95,1103.685
"106","York","YZHJZH009BAMAAFX",0.65,0.59,3678.95,1103.685
"107","KELVINATOR","KWH20HRC",0.67,0.59,3679.05,1103.715
"108","LENNOX","LNW022X",0.68,0.59,3679.1,1103.73
"109","ECLIPSE","EWF-07HRN1",0.68,0.59,3679.1,1103.73
"110","MIDEA","MWF-07HMN1-QC1",0.68,0.59,3679.1,1103.73
"111","Carrier","51QW007715G",0.68,0.59,3679.1,1103.73
"112","Carrier","51QW007716G",0.68,0.59,3679.1,1103.73
"113","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,3709.3,1112.79
"114","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,3709.3,1112.79
"115","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,3740.35,1122.105
"116","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,3740.45,1122.135
"117","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,3740.5,1122.15
"118","MIDEA","MS1A-09HRFN1-QE0",0.54,0.6,3740.7,1122.21
"119","SAIR","SGT-09",0.54,0.6,3740.7,1122.21
"120","SAIR","SGT-09",0.54,0.6,3740.7,1122.21
"121","MIDEA","MS1A-09HRFN1-QE0",0.54,0.6,3740.7,1122.21
"122","DAIKIN","FTXS20L / RXS20L",0.45,0.61,3802.55,1140.765
"123","DAIKIN","FTXS20K / RXS20K",0.45,0.61,3802.55,1140.765
"124","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,3864.7,1159.41
"125","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,3864.8,1159.44
"126","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,3864.8,1159.44
"127","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,3864.8,1159.44
"128","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,3864.8,1159.44
"129","Panasonic","CS_CU-E7MKR",0.46,0.62,3864.9,1159.47
"130","Panasonic","CS_CU-E7NKR",0.46,0.62,3864.9,1159.47
"131","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,3864.9,1159.47
"132","MIDEA","DMORC26DR",0.6,0.62,3865.6,1159.68
"133","GALANZ","AUS-07H53R150L1(2)",0.62,0.62,3865.7,1159.71
"134","GALANZ","AUS-07H53R150L2(2)",0.62,0.62,3865.7,1159.71
"135","GALANZ","AUS-07H53R150L3(2)",0.62,0.62,3865.7,1159.71
"136","GALANZ","AUS-07H53R150L4(2)",0.62,0.62,3865.7,1159.71
"137","GALANZ","AUS-07H53R150L5(2)",0.62,0.62,3865.7,1159.71
"138","GALANZ","AUS-07H53R150L10(2)",0.62,0.62,3865.7,1159.71
"139","GALANZ","AUS-07H53R150L15(2)",0.62,0.62,3865.7,1159.71
"140","GALANZ","AUS-07H53R150L21(2)",0.62,0.62,3865.7,1159.71
"141","GALANZ","AUS-07H53R150L24(2)",0.62,0.62,3865.7,1159.71
"142","GALANZ","AUS-07H53R150L25(2)",0.62,0.62,3865.7,1159.71
"143","YORK","YJHC07FSAAAA-III",0.62,0.62,3865.7,1159.71
"144","GALANZ","AUS-07H53F010Lx(2)",0.662,0.625,3897.06,1169.118
"145","MISTRAL","MSS2.0",0.662,0.625,3897.06,1169.118
"146","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,3927.35,1178.205
"147","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,3927.35,1178.205
"148","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,3927.35,1178.205
"149","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,3927.35,1178.205
"150","GALANZ","AUS-07H53R010Lx(2)",0.63,0.63,3928.05,1178.415
"151","GREEN FLOW","GFH2.6",0.64,0.63,3928.1,1178.43
"152","WINIA","WSH-073BE",0.71,0.63,3928.45,1178.535
"153","HYUNDAI","HSH-073BE",0.71,0.63,3928.45,1178.535
"154","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,3989.7,1196.91
"155","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,3989.7,1196.91
"156","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,3989.7,1196.91
"157","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,3989.7,1196.91
"158","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,3989.7,1196.91
"159","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,3989.7,1196.91
